Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Preparing frames for constructing fringe PCs, using images in base_images.dat
Elapsed time for initialising was 0.407357931137 seconds
Median residual, sigma, fmask, fsat, background ( Skymapper_0805317896_2014-05-13T22:40:57_17_red ): -1.32397460938 49.6387050825 0.194986820221 0.00183033943176 2929.91186523
Median residual, sigma, fmask, fsat, background ( Skymapper_0805317922_2014-05-14T00:59:55_17_red ): -1.19873046875 53.2007469404 0.174278140068 0.00178372859955 3465.7512207
Median residual, sigma, fmask, fsat, background ( Skymapper_0805318409_2014-05-13T22:46:17_17_red ): -1.2900390625 49.4717934384 0.186903238297 0.00182831287384 2920.83276367
Median residual, sigma, fmask, fsat, background ( Skymapper_0805318922_2014-05-13T22:51:38_17_red ): -1.1630859375 49.5671963409 0.187211036682 0.00178849697113 2934.02905273
Median residual, sigma, fmask, fsat, background ( Skymapper_0805319459_2014-05-14T01:05:15_17_red ): -1.31689453125 53.7774853004 0.168464899063 0.00178706645966 3540.60791016
Median residual, sigma, fmask, fsat, background ( Skymapper_0805319972_2014-05-14T01:10:35_17_red ): -1.75341796875 55.1467206089 0.165708184242 0.00179648399353 3620.79833984
Median residual, sigma, fmask, fsat, background ( Skymapper_0805320459_2014-05-13T22:56:58_17_red ): -1.24194335938 48.9661885943 0.182841181755 0.00175261497498 2914.86499023
Median residual, sigma, fmask, fsat, background ( Skymapper_0805320972_2014-05-13T23:02:18_17_red ): -1.20751953125 49.1434344079 0.190972208977 0.00179636478424 2947.56835938
Median residual, sigma, fmask, fsat, background ( Skymapper_0805321459_2014-05-13T20:53:34_17_red ): -1.3505859375 56.7956957284 0.189812898636 0.00177419185638 3708.84277344
Median residual, sigma, fmask, fsat, background ( Skymapper_0805321485_2014-05-13T23:07:38_17_red ): -0.92041015625 50.0569791861 0.208884000778 0.00177705287933 2999.97558594
Median residual, sigma, fmask, fsat, background ( Skymapper_0805321972_2014-05-13T20:53:34_17_red ): -1.677734375 56.8996375012 0.191398859024 0.00179350376129 3729.01196289
Median residual, sigma, fmask, fsat, background ( Skymapper_0805321998_2014-05-13T23:12:59_17_red ): -0.97265625 50.6448699697 0.223330140114 0.00179898738861 3045.328125
Median residual, sigma, fmask, fsat, background ( Skymapper_0805322485_2014-05-13T20:59:27_17_red ): -1.75146484375 56.0188932876 0.193313002586 0.0017009973526 3664.9609375
Median residual, sigma, fmask, fsat, background ( Skymapper_0805322511_2014-05-13T23:18:20_17_red ): -1.587890625 50.710468333 0.202466368675 0.00212967395782 3083.44799805
Median residual, sigma, fmask, fsat, background ( Skymapper_0805306622_2014-05-21T21:07:46_17_red ): -1.83129882812 44.6811896478 0.233228683472 0.00181245803833 2056.21582031
Median residual, sigma, fmask, fsat, background ( Skymapper_0805306648_2014-05-21T23:26:36_17_red ): -1.80993652344 41.5209902446 0.22699379921 0.00188827514648 1910.11083984
Median residual, sigma, fmask, fsat, background ( Skymapper_0805307135_2014-05-21T21:13:07_17_red ): -0.744445800781 44.6766601995 0.270126461983 0.00186014175415 2024.76489258
Median residual, sigma, fmask, fsat, background ( Skymapper_0805307161_2014-05-21T23:31:57_17_red ): -1.6982421875 41.7965554081 0.21427822113 0.00168490409851 1920.97949219
Median residual, sigma, fmask, fsat, background ( Skymapper_0805307648_2014-05-21T21:18:27_17_red ): -1.20513916016 42.3642745879 0.268019080162 0.00177156925201 1883.44885254
Median residual, sigma, fmask, fsat, background ( Skymapper_0805307674_2014-05-21T23:37:17_17_red ): -1.97192382812 40.9982298462 0.213222622871 0.00177466869354 1868.47070312
Median residual, sigma, fmask, fsat, background ( Skymapper_0805308161_2014-05-21T21:23:47_17_red ): -2.26672363281 42.2719425897 0.22912800312 0.00182783603668 1924.14331055
Median residual, sigma, fmask, fsat, background ( Skymapper_0805308674_2014-05-21T21:29:08_17_red ): -2.09545898438 40.0854151544 0.21896481514 0.00174069404602 1770.77807617
Median residual, sigma, fmask, fsat, background ( Skymapper_0805309211_2014-05-21T23:42:37_17_red ): -1.8994140625 40.1896700841 0.216869592667 0.00173342227936 1813.95690918
Median residual, sigma, fmask, fsat, background ( Skymapper_0805309724_2014-05-21T23:47:57_17_red ): -1.8486328125 39.4975136822 0.217884302139 0.0017501115799 1768.45629883
Median residual, sigma, fmask, fsat, background ( Skymapper_0805310211_2014-05-21T21:34:28_17_red ): -1.70520019531 40.9358477935 0.203647136688 0.00175559520721 1698.48376465
Median residual, sigma, fmask, fsat, background ( Skymapper_0805310237_2014-05-21T23:53:27_17_red ): -1.7041015625 38.0692911302 0.218560934067 0.00172317028046 1663.63647461
